Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
179,Utah Tech,WAC,,14,9,75.3,67.1,8.13,-5.19,3.29,-5.86,-2.57,94.86,98.46,-3.6
180,William & Mary,CAA,,10,10,63.0,63.4,-0.35,-2.32,-1.75,-0.92,-2.67,86.48,90.61,-4.13
181,UC Davis,Big West,,12,10,63.5,61.9,1.64,-0.04,-2.39,-0.3,-2.69,90.02,93.82,-3.81
182,Idaho State,Big Sky,,10,12,59.5,60.6,-1.09,0.29,-6.27,3.56,-2.71,84.03,87.76,-3.72
183,Eastern Kentucky,A-Sun,,17,7,72.1,62.0,10.13,-5.68,-0.15,-2.63,-2.77,87.84,91.59,-3.75
184,UC Santa Barbara,Big West,,14,8,66.3,60.9,5.41,-4.07,-2.66,-0.21,-2.87,90.63,95.58,-4.95
185,Pennsylvania,Ivy,,11,9,67.0,65.2,1.8,0.46,0.29,-3.45,-3.16,90.77,95.9,-5.13
186,Nevada,MWC,,12,12,64.0,63.5,0.5,-2.19,-2.64,-0.55,-3.19,85.88,89.95,-4.08
187,Southern Indiana,OVC,,15,6,70.3,63.5,6.81,-5.62,-1.48,-1.72,-3.2,88.32,92.87,-4.56
188,Idaho,Big Sky,,11,11,62.4,57.5,4.86,-5.52,-6.16,2.94,-3.22,87.97,92.52,-4.56
189,Loyola Marymount,WCC,,9,13,60.5,62.8,-2.27,1.38,-4.51,1.29,-3.22,88.33,93.43,-5.11
190,Wofford,Southern,,14,8,67.1,59.2,7.91,-6.36,-1.44,-1.81,-3.25,90.23,94.72,-4.5
191,Northern Colorado,Big Sky,,10,11,66.3,63.4,2.86,-2.09,-3.52,-0.1,-3.62,89.88,95.13,-5.25
192,Georgia Southern,Sun Belt,,13,11,74.5,68.5,6.0,-5.54,2.39,-6.03,-3.63,84.7,91.06,-6.36
193,Mercer,Southern,,10,14,65.2,64.8,0.33,-3.99,-0.43,-3.22,-3.65,89.87,94.91,-5.04
194,Texas State,Sun Belt,,12,12,64.8,60.6,4.17,-4.57,-5.83,2.17,-3.66,88.0,93.09,-5.09
195,Lipscomb,A-Sun,,13,10,66.9,63.9,3.0,-3.48,-1.97,-1.8,-3.77,89.19,94.24,-5.05
196,Louisiana,Sun Belt,,9,12,58.5,62.4,-3.86,3.02,-9.12,5.36,-3.77,86.03,91.43,-5.4
197,New Mexico State,CUSA,,9,12,61.1,60.0,1.05,-3.17,-7.0,3.18,-3.82,84.08,89.15,-5.08
198,Delaware,CAA,,8,13,68.8,68.3,0.48,-4.44,2.58,-6.54,-3.96,89.26,95.38,-6.12
199,Fordham,A-10,,8,15,60.9,62.5,-1.61,0.93,-3.55,-0.52,-4.07,87.67,93.56,-5.88
200,Drexel,CAA,,10,10,56.9,55.2,1.65,-4.56,-11.69,7.6,-4.09,86.36,91.92,-5.56
201,UC San Diego,Big West,,10,13,59.7,57.4,2.35,-1.43,-9.0,4.9,-4.1,83.39,89.95,-6.55
202,Abilene Christian,WAC,,9,11,71.8,68.5,3.25,-4.03,2.23,-6.49,-4.26,95.01,101.45,-6.44
203,UT Arlington,WAC,,10,12,68.5,72.8,-4.23,-0.03,2.9,-7.16,-4.26,91.29,96.6,-5.32
204,East Tennessee State,Southern,,15,8,59.7,55.0,4.74,-7.28,-8.88,4.55,-4.33,85.79,91.33,-5.54
205,Milwaukee,Horizon,,14,11,68.0,61.9,6.16,-7.42,-3.48,-0.85,-4.33,91.27,97.1,-5.83
206,Towson,CAA,,12,8,66.1,67.2,-1.05,-3.36,-0.45,-3.96,-4.41,88.36,95.2,-6.85
207,George Washington,A-10,,9,14,57.9,57.4,0.52,-2.22,-8.65,4.2,-4.45,83.54,90.49,-6.95
208,Austin Peay,A-Sun,,11,13,62.0,60.3,1.71,-5.31,-8.16,3.61,-4.55,83.52,89.78,-6.26
209,Buffalo,MAC,,13,8,67.3,63.0,4.38,-7.26,-1.22,-3.44,-4.66,90.73,97.86,-7.13
210,Fresno State,MWC,,11,13,66.5,63.0,3.46,-4.76,-1.23,-3.44,-4.67,92.39,99.77,-7.38
211,San Diego,WCC,,5,18,61.4,68.3,-6.83,4.85,-3.02,-1.72,-4.74,88.35,95.04,-6.69
212,Texas A&M-Corpus Christi,Southland,,14,7,65.1,56.3,8.86,-6.08,-5.48,0.64,-4.84,82.82,89.7,-6.87
213,St. Thomas,Summit,,14,10,69.5,68.9,0.54,-2.38,-0.26,-4.8,-5.06,90.17,97.15,-6.98
214,UTEP,CUSA,,8,13,68.1,72.2,-4.14,0.77,2.61,-7.73,-5.12,92.77,99.87,-7.1
215,Southern,SWAC,,7,13,58.5,64.7,-6.25,4.29,-7.3,2.06,-5.24,80.98,88.65,-7.67
216,Florida Atlantic,AAC,,8,14,61.5,66.0,-4.55,0.32,-5.24,-0.07,-5.3,88.07,96.4,-8.33
217,Wichita State,AAC,,6,17,63.7,70.5,-6.87,1.45,-2.2,-3.22,-5.42,85.36,92.91,-7.55
218,Tennessee-Martin,OVC,,10,12,64.0,63.9,0.09,-4.21,-5.7,0.25,-5.45,88.46,96.08,-7.62
219,Long Beach State,Big West,,8,13,64.4,68.8,-4.43,-0.22,-0.52,-5.34,-5.87,82.67,90.76,-8.09
220,UC Riverside,Big West,,12,10,57.8,58.4,-0.59,-2.61,-9.02,3.01,-6.01,82.45,91.57,-9.12
221,Siena,MAAC,,12,8,66.9,63.9,3.0,-9.02,-0.1,-5.93,-6.02,87.37,96.44,-9.07
222,Little Rock,OVC,,9,14,55.1,61.0,-5.91,-0.39,-11.96,5.66,-6.3,81.12,90.45,-9.33
223,Tennessee Tech,OVC,,10,12,68.8,66.2,2.59,-4.83,-1.41,-4.97,-6.38,89.24,98.19,-8.96
224,Incarnate Word,Southland,,12,9,63.7,58.2,5.43,-6.08,-5.76,-0.73,-6.49,88.79,97.12,-8.34
225,Grambling,SWAC,,12,8,76.1,66.3,9.85,-3.3,1.94,-8.59,-6.65,85.9,93.16,-7.26
226,Campbell,CAA,,11,9,61.0,53.9,7.1,-6.7,-11.02,4.32,-6.7,82.96,92.47,-9.51
