Name,Adj_NRtg,NC_Rec,NC_SOS_RPI,NET,Record,Q1,Q2,Q34,Conf_NC_WP
Southern Illinois,-0.0891,0.0302,-0.3512,-0.0625,-0.9023,-0.4617,-0.7664,-0.5291,-0.1338
Georgia State,-0.1284,-0.1858,-1.5829,0.0722,0.4136,2.1076,0.4416,-0.0559,0.3369
Bowling Green State,-0.114,0.207,1.5444,0.101,0.0291,-0.4617,0.7436,0.1807,-0.1883
Stephen F. Austin,-0.0911,-0.1858,1.2269,0.1299,0.6107,-0.4617,-0.0114,0.473,-0.6407
Southeastern Louisiana,-0.1249,-1.4268,1.554,0.0818,0.6107,-0.4617,-0.7664,0.8592,-1.2064
Arkansas-Pine Bluff,-0.1557,-0.8529,1.275,0.0914,0.108,0.8229,-0.7664,0.1807,-1.6533
Nevada,-0.1115,-0.2934,-1.3423,-0.0337,0.108,-0.4617,-0.7664,-0.185,0.2891
Pennsylvania,-0.1577,0.207,0.7554,0.0337,0.0291,-0.4617,-0.7664,0.49,0.2902
Idaho,-0.1443,0.0302,-1.4578,0.1107,0.0193,-0.4617,-0.0114,-0.4296,-0.4306
Louisiana Tech,-0.1309,-0.7169,1.4289,-0.0529,-0.8382,-0.4617,-0.7664,-0.8631,-0.3717
UC Santa Barbara,-0.193,0.0302,-0.8035,-0.0241,0.6107,-0.4617,-0.7664,0.2281,-0.7051
Air Force,-0.1965,-0.1466,-0.3416,-0.2839,-0.3553,-0.4617,-0.0114,-0.5291,0.2891
Fresno State,-0.2243,-0.1466,-1.6503,-0.3031,-0.1729,-0.4617,-0.7664,-0.439,0.2891
Idaho State,-0.1831,-0.7469,0.0722,-0.2646,-0.5721,-0.4617,-0.7664,-0.5291,-0.4306
Louisiana,-0.1811,-0.4555,1.1114,-0.101,-0.0793,0.566,-0.7664,-0.1505,0.3369
William & Mary,-0.2119,-0.4997,1.3327,0.0625,0.0291,-0.4617,-0.7664,0.4173,-0.2589
UC Davis,-0.1791,-0.9411,0.6976,0.0144,0.0193,-0.4617,-0.7664,-0.2304,-0.7051
Eastern Kentucky,-0.1766,1.0016,-1.275,0.0433,0.9754,-0.4617,-0.7664,0.7959,-0.6151
