Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
301,Tennessee,37,25,12,0.676,28.66,17.52,13.0,3.0,16,4,6,4,2852,2440,1490,889,2296,0.387,219,707,0.31,443,608,0.729,399,1214,459,280,116,544,712
302,Tennessee State,29,11,18,0.379,-17.31,-8.58,6.0,11.0,8,6,3,11,1920,2069,1165,741,1683,0.44,171,525,0.326,416,575,0.723,363,1100,480,231,81,578,535
303,Tennessee Tech,33,23,10,0.697,-3.81,-8.23,13.0,5.0,12,2,7,8,2268,2081,1320,744,1790,0.416,129,506,0.255,464,633,0.733,344,1112,401,208,92,526,595
304,Tennessee-Martin,30,13,17,0.433,-7.49,-7.42,8.0,9.0,6,5,6,9,1927,1929,1205,685,1562,0.439,183,564,0.324,376,533,0.705,302,1037,429,265,92,579,494
305,Texas,36,26,10,0.722,29.59,14.18,14.0,4.0,15,3,7,4,2623,2068,1440,707,1879,0.376,175,526,0.333,479,692,0.692,381,1167,356,281,107,718,715
306,Texas A&M,29,9,20,0.31,8.17,15.17,2.0,14.0,7,8,0,11,1651,1854,1160,666,1638,0.407,137,451,0.304,385,557,0.691,344,1062,358,250,86,436,505
307,Texas A&M-Commerce,33,14,19,0.424,-11.08,-6.08,10.0,8.0,8,4,4,12,2164,2279,1325,864,2031,0.425,215,648,0.332,336,478,0.703,371,1212,507,295,131,550,619
308,Texas A&M-Corpus Christi,31,19,12,0.613,-5.51,-7.58,14.0,4.0,10,4,9,5,1912,1748,1245,611,1650,0.37,154,540,0.285,372,533,0.698,301,1031,369,260,93,513,564
309,Texas Southern,29,2,27,0.069,-21.49,-5.14,2.0,16.0,1,11,1,16,1750,2224,1174,793,1845,0.43,149,494,0.302,489,728,0.672,415,1232,424,283,117,475,533
310,Texas State,33,23,10,0.697,-1.52,-5.42,13.0,5.0,13,4,8,5,2226,1952,1330,711,1901,0.374,168,586,0.287,362,531,0.682,418,1228,321,227,79,562,600
311,Texas Tech,35,20,15,0.571,12.18,10.04,6.0,12.0,15,6,3,8,2413,2338,1430,814,1991,0.409,218,746,0.292,492,675,0.729,357,1204,435,255,118,586,683
312,Texas-Rio Grande Valley,30,12,18,0.4,-7.01,-1.01,6.0,12.0,8,6,4,11,1868,2026,1215,730,1702,0.429,168,500,0.336,398,571,0.697,307,1142,453,202,116,437,517
313,Toledo,34,29,5,0.853,10.51,1.19,16.0,2.0,14,1,10,3,2482,2165,1375,796,2023,0.393,218,675,0.323,355,480,0.74,321,1149,372,213,76,477,621
314,Towson,33,21,12,0.636,-2.39,-5.33,13.0,5.0,12,5,8,5,2207,2110,1320,766,1962,0.39,176,526,0.335,402,532,0.756,378,1187,392,213,72,520,553
315,Troy,30,17,13,0.567,1.08,-2.37,12.0,6.0,8,4,8,7,2499,2334,1223,822,2016,0.408,241,750,0.321,449,630,0.713,388,1289,483,229,89,602,588
316,Tulane,32,18,14,0.563,7.8,3.39,7.0,9.0,11,6,5,6,2125,1937,1291,723,1979,0.365,186,693,0.268,305,435,0.701,416,1156,397,269,109,476,544
317,Tulsa,30,17,13,0.567,4.43,0.59,7.0,9.0,11,4,5,7,2083,1968,1200,723,1936,0.373,168,584,0.288,354,514,0.689,409,1222,362,219,54,394,486
318,UAB,31,14,17,0.452,-2.4,-1.29,5.0,15.0,9,6,3,9,2201,2162,1245,783,1927,0.406,174,541,0.322,422,596,0.708,361,1188,342,246,82,416,588
319,UC Davis,30,16,14,0.533,-1.74,-1.02,12.0,7.0,7,6,9,5,1906,1832,1200,622,1655,0.376,169,513,0.329,419,560,0.748,278,1041,296,225,63,414,476
320,UC Irvine,32,25,7,0.781,2.58,-3.49,16.0,2.0,11,2,13,3,1998,1703,1320,630,1716,0.367,164,589,0.278,279,398,0.701,340,1101,365,230,130,621,563
321,UC Riverside,32,6,26,0.188,-9.93,-0.8,3.0,17.0,4,9,1,15,1644,1925,1300,722,1703,0.424,147,448,0.328,334,457,0.731,319,1219,410,251,115,555,515
322,UC San Diego,30,13,17,0.433,-6.02,-1.89,10.0,10.0,7,6,5,9,1778,1902,1200,682,1708,0.399,202,619,0.326,336,481,0.699,300,1063,360,255,86,401,479
323,UC Santa Barbara,33,21,12,0.636,1.19,-2.2,12.0,8.0,11,4,8,7,2206,2015,1345,750,1937,0.387,187,600,0.312,328,447,0.734,371,1085,381,247,84,460,630
324,UCLA,37,27,10,0.73,24.93,16.87,11.0,7.0,15,3,6,5,2580,2282,1501,792,2062,0.384,190,584,0.325,508,689,0.737,364,1250,429,195,154,567,629
325,UNC Asheville,31,12,19,0.387,-21.79,-12.55,7.0,11.0,7,9,4,9,1778,1943,1240,720,1774,0.406,169,611,0.277,334,506,0.66,359,1206,363,241,79,522,503
