,Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
14,15,Arkansas-Pine Bluff,16,6,10,0.375,-16.9,-0.06,1.0,2.0,4,3,2,7,1334,1374,76.7,112.1,0.339,0.389,0.576,53.2,60.5,9.2,13.0,0.548,15.6,31.3,0.242
15,16,Army,18,5,13,0.278,-13.91,-8.16,1.0,4.0,4,6,1,7,1098,1147,64.1,98.6,0.319,0.378,0.525,48.8,53.2,11.5,10.4,0.493,16.1,24.3,0.223
16,17,Auburn,17,15,2,0.882,21.45,3.27,4.0,0.0,9,0,2,1,1425,1116,71.0,92.4,0.374,0.358,0.483,45.8,43.7,9.3,6.9,0.431,17.0,27.8,0.277
17,18,Austin Peay,19,9,10,0.474,-5.74,-0.99,2.0,2.0,6,1,2,8,1312,1289,66.3,101.7,0.372,0.386,0.527,51.4,53.6,6.4,7.9,0.49,16.3,29.3,0.26
18,19,Ball State,17,9,8,0.529,-6.45,-4.58,1.0,4.0,7,2,2,5,1258,1184,67.3,103.5,0.298,0.346,0.539,48.0,48.7,9.0,7.6,0.508,15.2,26.6,0.213
19,20,Baylor,17,14,3,0.824,20.86,5.55,3.0,1.0,10,0,1,1,1441,1170,68.8,98.6,0.294,0.343,0.524,45.1,50.2,9.1,8.9,0.489,16.9,28.2,0.217
20,21,Bellarmine,19,4,15,0.211,-10.75,2.13,0.0,4.0,3,4,1,11,1275,1387,66.8,109.2,0.269,0.431,0.548,53.6,52.3,7.6,9.4,0.52,13.9,30.0,0.196
21,22,Belmont,18,11,7,0.611,0.62,2.44,4.0,3.0,7,1,3,5,1407,1404,73.0,106.2,0.264,0.401,0.55,51.7,55.5,9.9,8.3,0.524,15.2,27.9,0.19
22,23,Bethune-Cookman,16,7,9,0.438,-13.99,-5.06,2.0,1.0,6,1,1,6,1192,1209,74.7,100.3,0.466,0.383,0.555,50.3,58.7,12.1,6.5,0.509,21.0,32.0,0.337
23,24,Binghamton,16,8,8,0.5,-11.24,-4.45,0.0,3.0,6,1,2,7,1191,1176,70.6,104.2,0.297,0.384,0.515,46.8,46.0,9.9,10.4,0.486,11.8,26.5,0.205
24,25,Boise State,17,12,5,0.706,12.55,7.22,3.0,1.0,8,1,2,1,1257,1104,68.1,95.4,0.311,0.332,0.512,44.6,46.3,8.6,10.0,0.479,16.0,22.2,0.218
25,26,Boston College,17,11,6,0.647,8.56,3.38,2.0,4.0,7,2,3,2,1326,1238,69.5,104.0,0.278,0.371,0.541,50.2,48.6,8.1,8.8,0.506,15.4,27.2,0.213
26,27,Boston University,18,7,11,0.389,-10.13,-6.25,2.0,3.0,4,4,3,7,1157,1182,67.3,97.5,0.342,0.411,0.525,48.5,52.1,10.5,7.7,0.487,15.5,20.2,0.244
27,28,Bowling Green State,17,13,4,0.765,-2.63,-5.63,4.0,1.0,8,1,3,2,1291,1177,71.0,96.8,0.259,0.338,0.507,48.0,46.2,9.0,10.6,0.484,15.2,24.4,0.17
28,29,Bradley,18,13,5,0.722,9.35,2.0,5.0,2.0,7,2,4,2,1339,1192,67.4,97.0,0.36,0.377,0.505,48.9,48.2,10.6,6.4,0.466,16.9,29.4,0.251
29,30,Brigham Young,17,14,3,0.824,25.41,3.35,2.0,2.0,10,1,1,2,1457,1082,70.7,90.1,0.287,0.333,0.478,43.2,47.9,8.5,6.0,0.446,16.2,22.5,0.195
30,31,Brown,17,5,12,0.294,-7.23,-2.48,1.0,1.0,2,4,2,6,1186,1221,69.0,102.5,0.328,0.356,0.533,47.9,49.9,9.4,11.1,0.504,15.1,25.6,0.223
31,32,Bryant,18,11,7,0.611,-2.46,-1.52,3.0,0.0,5,1,5,6,1440,1360,76.4,97.6,0.335,0.343,0.48,54.4,47.4,8.9,8.6,0.443,14.1,31.7,0.227
32,33,Bucknell,18,6,12,0.333,-8.41,-2.08,3.0,2.0,2,6,4,6,1170,1284,65.3,109.3,0.312,0.424,0.559,51.6,59.9,10.6,10.7,0.531,14.1,28.5,0.221
33,34,Buffalo,17,2,15,0.118,-12.84,-0.28,1.0,4.0,1,7,1,6,1150,1345,70.7,112.0,0.272,0.352,0.565,48.7,55.3,11.6,8.9,0.544,13.0,28.9,0.188
34,35,Butler,18,11,7,0.611,12.99,7.17,2.0,5.0,8,2,1,4,1444,1319,70.0,101.9,0.224,0.387,0.512,50.1,48.3,9.9,11.8,0.488,14.5,31.3,0.157
35,36,Cal Poly,18,4,14,0.222,-12.79,-1.49,0.0,6.0,3,5,0,8,1151,1325,66.4,108.5,0.432,0.317,0.551,55.0,45.0,9.3,9.0,0.51,15.6,33.9,0.308
36,37,Cal State Bakersfield,17,6,11,0.353,-6.55,-0.48,1.0,5.0,5,2,0,8,1187,1197,66.7,104.1,0.419,0.381,0.54,49.8,51.0,7.2,6.8,0.502,17.1,33.5,0.292
37,38,Cal State Fullerton,18,8,10,0.444,-5.9,1.23,1.0,5.0,4,3,3,6,1210,1244,67.7,101.4,0.354,0.392,0.529,51.8,52.3,10.5,8.7,0.495,16.9,30.4,0.247
38,39,Cal State Northridge,18,13,5,0.722,-3.06,-6.25,4.0,2.0,7,2,6,3,1425,1305,75.4,96.2,0.366,0.456,0.513,43.7,58.9,11.3,7.7,0.47,16.7,24.1,0.265
39,40,California,18,6,12,0.333,4.67,6.01,2.0,5.0,5,5,1,3,1356,1380,69.4,108.2,0.328,0.378,0.554,48.0,45.2,8.8,8.9,0.518,13.4,26.1,0.245
40,41,California Baptist,17,10,7,0.588,-0.6,-3.93,3.0,3.0,8,3,2,4,1158,1081,66.8,95.2,0.286,0.273,0.499,45.6,45.7,8.0,8.6,0.465,15.1,23.7,0.204
41,42,Campbell,18,9,9,0.5,-9.7,-6.7,3.0,2.0,7,3,2,6,1240,1176,66.0,98.4,0.267,0.411,0.51,50.7,50.8,9.6,8.9,0.483,16.9,29.3,0.183
42,43,Canisius,16,7,9,0.438,-4.05,-2.11,2.0,4.0,4,2,1,6,1199,1188,70.9,103.9,0.309,0.323,0.523,49.3,49.1,8.9,8.8,0.494,14.5,31.6,0.211
