Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_MP,Opp_FG,Opp_FGA,Opp_FG_Pct,Opp_3P,Opp_3PA,Opp_3P_Pct,Opp_FT,Opp_FTA,Opp_FT_Pct,Opp_ORB,Opp_TRB,Opp_AST,Opp_STL,Opp_BLK,Opp_TOV,Opp_PF
42,Campbell,23,11,12,0.478,-10.64,-5.99,5.0,5.0,8,4,3,8,1571,1555,925,568,1330,0.427,180,574,0.314,239,341,0.701,247,783,298,149,69,287,375
43,Canisius,20,8,12,0.4,-5.63,-3.05,3.0,7.0,5,3,1,8,1469,1478,805,552,1229,0.449,129,403,0.32,245,354,0.692,216,699,292,138,65,237,330
44,Central Arkansas,25,8,17,0.32,-15.95,-4.95,4.0,5.0,5,7,3,10,1815,1959,1005,688,1509,0.456,232,627,0.37,351,504,0.696,281,957,333,187,81,306,394
45,Central Connecticut State,22,13,9,0.591,-7.28,-8.28,7.0,2.0,6,3,7,6,1600,1462,885,546,1274,0.429,148,444,0.333,222,340,0.653,220,740,298,155,72,296,335
46,Central Florida,21,13,8,0.619,12.58,5.72,4.0,5.0,10,4,1,4,1509,1365,845,460,1142,0.403,143,432,0.331,302,416,0.726,188,711,269,158,75,314,382
47,Central Michigan,22,13,9,0.591,-7.14,-2.14,8.0,2.0,7,2,5,6,1497,1578,900,557,1294,0.43,163,531,0.307,301,407,0.74,229,791,299,130,64,263,342
48,Charleston Southern,22,8,14,0.364,-11.11,-0.64,4.0,5.0,6,5,2,9,1550,1649,880,603,1324,0.455,133,406,0.328,310,438,0.708,239,777,253,138,56,216,354
49,Charlotte,21,14,7,0.667,6.54,3.54,8.0,1.0,10,1,3,4,1453,1346,850,482,1158,0.416,130,424,0.307,252,340,0.741,204,679,218,115,55,223,337
50,Chattanooga,23,15,8,0.652,-0.19,-3.57,7.0,3.0,9,3,6,5,1806,1629,930,589,1408,0.418,190,587,0.324,261,397,0.657,242,783,280,146,62,254,370
51,Chicago State,27,11,16,0.407,-8.21,-2.37,,,5,5,5,10,1852,1872,1085,680,1490,0.456,159,512,0.311,353,515,0.685,303,939,338,194,80,407,460
52,Cincinnati,22,15,7,0.682,15.93,5.79,4.0,5.0,12,2,3,4,1693,1470,890,527,1278,0.412,148,451,0.328,268,366,0.732,187,697,277,141,84,267,366
53,Clemson,21,14,7,0.667,14.93,8.17,4.0,6.0,8,3,3,4,1659,1517,850,527,1247,0.423,170,501,0.339,293,405,0.723,200,700,231,129,54,203,340
54,Cleveland State,24,14,10,0.583,-3.18,-3.79,7.0,6.0,11,1,3,9,1848,1773,970,627,1374,0.456,162,508,0.319,357,519,0.688,306,895,325,137,82,347,417
55,Coastal Carolina,22,6,16,0.273,-11.32,-2.22,3.0,8.0,5,10,1,6,1642,1758,890,616,1442,0.427,227,668,0.34,299,430,0.695,278,843,348,171,84,222,358
56,Colgate,23,15,8,0.652,0.33,-2.99,9.0,1.0,8,2,5,5,1640,1489,920,551,1323,0.416,159,517,0.308,228,340,0.671,202,770,308,131,60,262,322
57,College of Charleston,23,16,7,0.696,1.86,-2.14,7.0,3.0,8,2,7,2,1863,1738,920,631,1419,0.445,181,524,0.345,295,416,0.709,225,831,274,150,77,262,394
58,Colorado,22,15,7,0.682,16.01,6.56,6.0,5.0,12,0,1,6,1775,1567,885,566,1308,0.433,155,463,0.335,280,390,0.718,188,661,235,169,75,262,408
59,Colorado State,22,17,5,0.773,14.62,7.17,5.0,4.0,11,1,3,4,1755,1529,890,557,1258,0.443,146,437,0.334,269,355,0.758,201,707,265,116,57,280,363
60,Columbia,19,11,8,0.579,-4.56,-4.44,2.0,4.0,8,2,3,6,1489,1328,760,479,1143,0.419,152,501,0.303,218,311,0.701,192,640,263,115,78,239,295
61,Connecticut,22,20,2,0.909,22.53,5.35,10.0,1.0,12,0,4,2,1790,1412,880,489,1227,0.399,127,391,0.325,307,439,0.699,214,654,229,125,61,250,400
62,Coppin State,20,2,18,0.1,-20.58,-4.43,1.0,5.0,2,4,0,13,1128,1451,810,500,1135,0.441,143,442,0.324,308,409,0.753,257,795,296,182,64,300,308
63,Cornell,20,17,3,0.85,4.14,-2.36,6.0,0.0,7,0,8,3,1680,1486,800,542,1218,0.445,166,520,0.319,236,375,0.629,222,684,273,143,61,287,328
64,Creighton,22,16,6,0.727,19.16,7.25,7.0,4.0,10,2,5,3,1772,1510,900,605,1471,0.411,124,390,0.318,176,229,0.769,219,745,229,139,60,165,331
65,Dartmouth,19,5,14,0.263,-14.45,-1.75,1.0,5.0,5,5,0,9,1144,1313,760,490,1114,0.44,152,450,0.338,181,258,0.702,159,680,236,142,51,184,306
66,Davidson,20,12,8,0.6,4.08,1.96,2.0,5.0,7,4,3,3,1444,1348,810,480,1134,0.423,162,488,0.332,226,330,0.685,181,692,259,122,59,231,352
67,Dayton,21,18,3,0.857,14.94,5.13,8.0,1.0,11,0,4,2,1556,1350,840,506,1260,0.402,147,475,0.309,191,268,0.713,246,709,249,116,52,212,348
68,Delaware,23,14,9,0.609,0.66,-3.43,6.0,4.0,6,3,6,4,1746,1623,925,591,1386,0.426,163,516,0.316,278,394,0.706,241,802,282,136,85,250,359
69,Delaware State,22,10,12,0.455,-11.17,-6.17,3.0,3.0,5,4,3,7,1556,1576,905,550,1239,0.444,187,497,0.376,289,419,0.69,188,687,285,165,55,346,411
70,Denver,24,13,11,0.542,-4.28,-3.83,4.0,5.0,8,2,4,8,2028,1942,980,716,1546,0.463,185,517,0.358,325,451,0.721,260,883,319,121,106,264,473
71,DePaul,22,3,19,0.136,-5.81,9.23,0.0,11.0,3,11,0,6,1415,1746,880,628,1317,0.477,186,512,0.363,304,405,0.751,231,803,346,163,67,228,373
72,Detroit Mercy,24,0,24,0.0,-18.29,-1.58,0.0,13.0,0,9,0,15,1527,1928,970,690,1420,0.486,196,528,0.371,352,453,0.777,283,918,357,145,81,285,382
73,Drake,23,18,5,0.783,11.17,0.21,9.0,3.0,12,0,3,4,1820,1559,935,561,1293,0.434,166,511,0.325,271,391,0.693,178,750,229,123,57,296,384
74,Drexel,23,15,8,0.652,2.68,-4.0,8.0,2.0,9,1,5,7,1682,1467,925,530,1335,0.397,147,477,0.308,260,371,0.701,212,717,245,127,64,220,377
75,Duke,21,16,5,0.762,18.82,6.11,7.0,3.0,10,2,4,3,1704,1437,840,524,1201,0.436,151,445,0.339,238,340,0.7,173,668,273,107,94,251,362
76,Duquesne,21,13,8,0.619,6.43,3.33,3.0,5.0,9,3,2,4,1525,1415,840,499,1180,0.423,134,403,0.333,283,414,0.684,230,744,252,123,77,295,371
77,East Carolina,23,11,12,0.478,-0.32,0.27,4.0,6.0,9,7,2,4,1583,1566,925,556,1283,0.433,164,542,0.303,290,395,0.734,249,813,282,131,85,303,386
78,East Tennessee State,23,12,11,0.522,-4.76,-2.28,4.0,6.0,7,3,4,8,1621,1594,920,559,1318,0.424,157,484,0.324,319,460,0.693,244,852,260,147,70,294,388
79,Eastern Illinois,23,10,13,0.435,-11.78,-3.83,4.0,6.0,6,6,3,7,1572,1548,920,540,1212,0.446,166,472,0.352,302,414,0.729,183,796,316,126,97,336,319
