Rk,School,G,W,L,W_L_Pct,SRS,SOS,W_Conf,L_Conf,W_Home,L_Home,W_Away,L_Away,Pts_Tm,Pts_Opp,Opp_Pace,Opp_ORtg,Opp_FTr,Opp_3PAr,Opp_TS_Pct,Opp_TRB_Pct,Opp_AST_Pct,Opp_STL_Pct,Opp_BLK_Pct,Opp_eFG_Pct,Opp_TOV_Pct,Opp_ORB_Pct,Opp_FTperFGA
148,Long Beach State,23,14,9,0.609,-1.1,-1.05,6.0,5.0,6,2,7,5,1808,1758,73.5,102.9,0.314,0.464,0.538,48.0,59.6,9.8,5.8,0.51,17.0,30.1,0.217
149,Long Island University,21,5,16,0.238,-19.7,-6.75,4.0,5.0,3,3,1,13,1362,1634,71.0,109.6,0.391,0.343,0.55,53.7,56.5,11.9,10.0,0.517,13.1,29.9,0.271
150,Longwood,24,14,10,0.583,-2.95,-6.57,2.0,7.0,10,2,4,8,1801,1593,68.4,95.6,0.323,0.371,0.523,42.5,47.6,8.9,6.5,0.495,18.1,23.7,0.217
151,Louisiana,23,15,8,0.652,1.78,-2.03,8.0,3.0,9,1,4,6,1786,1631,70.2,101.0,0.407,0.315,0.536,50.0,45.5,9.7,10.1,0.496,18.9,32.3,0.289
152,Louisiana State,21,12,9,0.571,9.75,4.42,4.0,4.0,9,3,1,4,1628,1516,71.2,100.8,0.342,0.429,0.523,49.7,48.5,11.2,10.6,0.479,17.1,31.1,0.257
153,Louisiana Tech,22,16,6,0.727,8.28,-0.09,6.0,1.0,11,0,5,6,1677,1380,67.5,91.8,0.305,0.348,0.476,45.4,45.2,9.8,8.8,0.439,16.4,27.6,0.212
154,Louisiana-Monroe,21,7,14,0.333,-10.14,-1.09,3.0,8.0,5,5,2,9,1471,1567,69.4,106.8,0.38,0.466,0.545,47.4,61.3,10.2,9.3,0.501,14.8,29.5,0.284
155,Louisville,22,7,15,0.318,0.94,6.08,2.0,9.0,6,7,1,6,1602,1715,70.6,109.8,0.324,0.386,0.564,49.8,53.9,10.1,10.0,0.531,14.7,28.2,0.241
156,Loyola (IL),21,14,7,0.667,4.75,1.1,6.0,2.0,10,2,3,3,1539,1415,70.3,95.9,0.353,0.356,0.501,48.1,51.0,9.8,9.8,0.46,15.4,25.1,0.249
157,Loyola (MD),23,4,19,0.174,-16.78,-6.06,2.0,8.0,1,8,3,10,1490,1692,66.5,109.4,0.319,0.37,0.562,49.1,52.0,11.6,11.0,0.537,13.9,26.8,0.219
158,Loyola Marymount,22,10,12,0.455,1.65,1.13,3.0,5.0,7,5,2,4,1604,1552,67.6,104.4,0.307,0.295,0.525,46.9,49.6,9.2,10.9,0.487,11.9,25.4,0.229
159,Maine,23,11,12,0.478,-5.72,-4.58,3.0,5.0,5,3,4,9,1571,1544,68.2,98.4,0.334,0.323,0.523,51.3,53.3,9.2,8.9,0.495,16.9,26.7,0.221
160,Manhattan,19,5,14,0.263,-14.37,-2.92,2.0,8.0,2,6,3,8,1270,1464,71.2,106.9,0.262,0.336,0.544,53.0,58.3,12.4,11.0,0.513,14.5,30.0,0.196
161,Marist,19,10,9,0.526,-7.28,-8.49,5.0,5.0,5,3,5,6,1227,1204,66.4,95.4,0.375,0.39,0.52,51.5,44.0,10.5,7.1,0.484,19.2,26.5,0.258
162,Marquette,22,17,5,0.773,19.79,9.02,8.0,3.0,10,1,5,3,1726,1489,69.9,96.9,0.28,0.425,0.528,50.9,56.9,8.1,7.6,0.496,19.8,28.9,0.205
