Rk,School,Conf,AP_Rank,W,L,Pts,Opp,MOV,SOS,OSRS,DSRS,SRS,Adj_ORtg,Adj_DRtg,Adj_NRtg
188,Monmouth,CAA,,15,12,72.4,72.8,-0.33,-1.8,-0.83,-1.3,-2.14,103.96,107.03,-3.07
189,UTEP,CUSA,,13,13,74.3,70.3,4.04,-1.16,-2.47,0.31,-2.16,97.22,100.23,-3.01
190,Evansville,MVC,,15,12,73.3,73.1,0.11,0.37,-0.25,-1.96,-2.21,102.25,105.34,-3.08
191,Temple,AAC,,9,17,71.2,74.2,-2.96,1.85,-1.11,-1.32,-2.43,101.34,105.1,-3.76
192,Pepperdine,WCC,,11,17,72.7,74.9,-2.25,1.71,-0.01,-2.55,-2.56,105.92,109.69,-3.77
193,Bryant,AEC,,17,10,79.4,75.5,3.96,-3.08,2.19,-4.79,-2.6,97.86,101.52,-3.65
194,Iona,MAAC,,13,12,73.1,71.1,2.04,-4.73,-1.78,-0.92,-2.69,103.29,106.77,-3.49
195,San Jose State,MWC,,9,17,71.9,74.4,-2.54,1.73,-1.62,-1.09,-2.71,105.41,109.49,-4.08
196,Cleveland State,Horizon,,16,11,76.7,73.7,3.07,-3.6,0.22,-2.98,-2.76,104.79,108.69,-3.9
197,Longwood,Big South,,16,11,75.2,67.0,8.19,-6.47,-3.34,0.59,-2.76,101.39,105.16,-3.76
198,Harvard,Ivy,,13,9,71.6,71.5,0.09,-1.66,-2.11,-0.79,-2.9,101.63,105.65,-4.02
199,Fairfield,MAAC,,16,10,76.3,71.3,5.0,-6.34,0.35,-3.37,-3.02,105.53,109.4,-3.87
200,Northern Kentucky,Horizon,,14,13,73.4,72.1,1.37,-2.44,-1.99,-1.05,-3.04,101.18,105.72,-4.54
201,Rice,AAC,,9,16,73.2,76.7,-3.48,2.39,-1.25,-1.82,-3.07,103.83,108.0,-4.18
202,Pennsylvania,Ivy,,9,15,73.3,72.9,0.38,0.99,-1.73,-1.37,-3.1,104.39,109.14,-4.75
203,Wofford,Southern,,15,12,75.2,73.8,1.37,-1.02,0.32,-3.46,-3.15,106.88,111.49,-4.61
204,Northern Colorado,Big Sky,,16,10,80.6,77.8,2.81,-4.14,6.18,-9.36,-3.18,107.34,111.64,-4.3
205,San Diego,WCC,,16,12,73.3,76.5,-3.21,0.81,0.16,-3.46,-3.3,101.4,105.45,-4.05
206,Green Bay,Horizon,,17,10,69.2,66.9,2.37,-3.96,-6.44,3.09,-3.36,102.17,107.07,-4.9
207,La Salle,A-10,,12,14,73.8,75.0,-1.23,0.54,0.48,-3.86,-3.38,103.64,108.16,-4.52
208,Georgia State,Sun Belt,,12,14,77.1,74.3,2.85,-2.1,-0.42,-3.14,-3.55,102.99,108.09,-5.1
209,Gardner-Webb,Big South,,13,14,74.2,73.0,1.22,-0.8,-1.11,-2.48,-3.59,99.76,104.37,-4.6
210,Texas A&M-Corpus Christi,Southland,,16,10,75.2,66.4,8.77,-4.99,-4.62,0.95,-3.68,98.32,102.34,-4.02
211,Air Force,MWC,,8,16,67.9,71.0,-3.13,-0.63,-5.97,2.21,-3.76,104.78,111.21,-6.43
212,Stetson,A-Sun,,17,10,76.5,71.1,5.41,-2.43,-0.84,-3.01,-3.85,107.1,112.89,-5.8
213,Eastern Kentucky,A-Sun,,15,11,81.7,76.4,5.27,-2.91,0.93,-4.8,-3.87,105.03,109.84,-4.81
214,Columbia,Ivy,,13,9,78.2,70.0,8.18,-4.78,-0.1,-3.79,-3.88,104.39,109.35,-4.96
215,Cal State Northridge,Big West,,17,10,76.4,73.3,3.15,-4.53,1.22,-5.11,-3.89,99.41,105.25,-5.84
216,Quinnipiac,MAAC,,19,6,78.3,72.5,5.8,-7.1,1.32,-5.21,-3.89,101.95,107.24,-5.29
217,UC Riverside,Big West,,12,15,69.1,70.9,-1.78,0.08,-4.44,0.48,-3.96,100.56,106.28,-5.72
218,New Hampshire,AEC,,14,10,75.3,73.2,2.04,-2.86,-0.52,-3.56,-4.08,98.64,104.06,-5.42
219,East Tennessee State,Southern,,13,14,69.5,69.0,0.52,-1.63,-5.73,1.5,-4.23,99.98,105.92,-5.94
220,Marshall,Sun Belt,,12,15,74.7,76.2,-1.52,-1.43,-0.99,-3.29,-4.28,99.02,104.52,-5.5
221,Merrimack,NEC,,17,10,69.4,66.1,3.3,-6.93,-7.42,3.05,-4.37,94.47,100.71,-6.24
222,Southern Mississippi,Sun Belt,,15,12,70.4,70.1,0.22,-2.53,-3.93,-0.48,-4.41,100.82,107.21,-6.39
223,Lamar,Southland,,15,11,80.5,74.7,5.81,-7.72,1.46,-6.01,-4.55,104.28,110.28,-6.0
224,Southern Utah,WAC,,9,17,75.5,77.1,-1.65,-0.59,1.63,-6.17,-4.55,103.88,109.91,-6.03
225,Little Rock,OVC,,16,11,77.2,74.8,2.44,-7.07,1.62,-6.25,-4.63,104.34,110.39,-6.05
226,Denver,Summit,,15,13,84.4,81.2,3.18,-4.43,7.73,-12.41,-4.68,108.52,115.11,-6.59
227,Marist,MAAC,,14,9,65.7,61.9,3.83,-8.51,-10.09,5.41,-4.68,96.46,102.36,-5.9
